Ticker,Trend,Current Price,Bullish Score,Bearish Score,Long Entry,Long SL,Long TP1,Long TP2,Long TP3,Long RR1,Short Entry,Short SL,Short TP1,Short TP2,Short TP3,Short RR1,Long Reasons,Short Reasons,Long RR2,Long RR3
CRM,Up,291.1499938964844,5,2,291.1499938964844,279.98748947548523,314.22787725246576,337.2228642611516,,2.06744673825766,,,,,,,Trend: Up; RSI: 66.2 (Healthy); MACD: Bullish Bias; Price > VWAP; Near Support 291.01,RSI: 66.2 (Healthy); Near Resistance 293.72,4.127467154950814,
MCD,Strong Up,318.6099853515625,4,3,318.6099853515625,309.3981700124815,340.2946728701932,358.0712694838225,377.697454184419,2.3540080560053918,,,,,,,Trend: Strong Up; RSI: 57.0 (Healthy); Price > VWAP; Near Support 314.19,RSI: 57.0 (Healthy); MACD: Bearish Bias; Near Resistance 318.66,4.2837684733915635,6.414313211661843
NFLX,Strong Up,1191.530029296875,4,2,1191.530029296875,1140.1799184122203,1298.608806640625,1428.4972150878907,1571.9000244140625,2.085268668343795,,,,,,,Trend: Strong Up; MACD: Bullish Crossover; Price > VWAP; Near Support 1189.14,RSI: 71.2 (Overbought - Reversal Potential); Near Resistance 1196.50,4.61473562001266,7.4073841042251045
ABT,Strong Up,134.8000030517578,5,2,134.8000030517578,130.10067498510293,148.80136344193505,159.26093165977184,170.8087786517188,2.979438803076331,,,,,,,Trend: Strong Up; RSI: 60.3 (Healthy); MACD: Bullish Crossover; Price > VWAP; Near Support 133.44,RSI: 60.3 (Healthy); Near Resistance 135.25,5.205197053932438,7.662537088114609
VZ,Strong Up,43.9900016784668,4,3,43.9900016784668,42.572817156813,49.22676971597594,52.55375181577025,56.22689390282638,3.695191386509116,,,,,,,Trend: Strong Up; RSI: 55.1 (Healthy); Price > VWAP; Near Support 43.31,RSI: 55.1 (Healthy); MACD: Bearish Bias; Near Resistance 43.99,6.042791186647957,8.634649925529562
SCHW,Strong Up,88.69000244140625,4,2,88.69000244140625,85.64505421819764,95.18062832653489,103.20811527750433,112.07083208464401,2.131604680715771,,,,,,,Trend: Strong Up; MACD: Bullish Bias; Price > VWAP; Near Support 88.43,RSI: 77.5 (Overbought - Reversal Potential); Near Resistance 88.87,4.767934221488882,7.678563945695033
GE,Strong Up,231.77999877929688,4,2,231.77999877929688,223.18649102170946,252.1651291503906,277.4092914733887,305.28001403808594,2.3721547645192045,,,,,,,Trend: Strong Up; MACD: Bullish Bias; Price > VWAP; Near Support 230.56,RSI: 79.6 (Overbought - Reversal Potential); Near Resistance 232.32,5.3097400946434945,8.552970141196894
T,Strong Up,27.719999313354492,4,2,27.719999313354492,26.635991720422094,30.784060297137664,33.40316180959043,36.29477099385909,2.826604724690573,,,,,,,Trend: Strong Up; RSI: 54.8 (Healthy); Price > VWAP; Near Support 27.27,RSI: 54.8 (Healthy); MACD: Bearish Bias,5.242733107488811,7.910250570578195
CB,Strong Up,294.3299865722656,5,2,294.3299865722656,285.1089318975953,322.0183092290563,341.2369626340696,362.4552447170612,3.0027283899366557,,,,,,,Trend: Strong Up; RSI: 58.0 (Healthy); MACD: Bullish Bias; Price > VWAP; Near Support 293.28,RSI: 58.0 (Healthy); Near Resistance 294.39,5.086942623890369,7.388011518024244
BDX,Strong Down,175.41000366210938,4,3,175.41000366210938,166.30589685410393,196.76198738020594,205.01779968261718,207.0891452199961,2.3453134028833333,,,,,,,RSI: 37.7 (Healthy); MACD: Bullish Bias; Price > VWAP; Near Support 174.22,Trend: Strong Down; RSI: 37.7 (Healthy); Near Resistance 177.80,3.252136277056089,3.479653987586193
PGR,Strong Up,286.0299987792969,5,2,286.0299987792969,276.1760648972466,310.4099842834802,332.70175875752324,357.3129086103685,2.474137313686808,,,,,,,Trend: Strong Up; RSI: 58.6 (Healthy); MACD: Bullish Bias; Price > VWAP; Near Support 281.84,RSI: 58.6 (Healthy); Near Resistance 287.49,4.736358142532562,7.233954548946084
AIG,Strong Up,84.33000183105469,5,2,84.33000183105469,81.45457558856182,93.28238052896319,99.91283556062527,107.23316452621751,3.113409262811483,,,,,,,Trend: Strong Up; RSI: 57.6 (Healthy); MACD: Bullish Bias; Price > VWAP; Near Support 82.98,RSI: 57.6 (Healthy); Near Resistance 84.44,5.419312621999642,7.96513656191258
